k;p
807716;-1087.18
753262;-1113.22
803269;-1091.67
795456;-1076.27
643172;-1071.18
396640;-1069.8
158704;-1069.47
31003.3;-1069.05
68355;-1068.26
254702;-1067.51
510141;-1067.8
726186;-1070.89
816052;-1080.54
774441;-1104.98
771676;-1107.01
815958;-1084.11
731580;-1076.4
519063;-1075.28
263308;-1076.35
72850.1;-1077.43
29326.4;-1077.45
151427;-1076.3
386718;-1074.82
634647;-1074.72
791592;-1078.97
804356;-1094.09
751991;-1117.79
804522;-1094.73
790215;-1080.83
631936;-1077.78
383694;-1078.97
149285;-1081.23
28881.6;-1082.69
74173.2;-1082.52
265691;-1081
521335;-1079.47
732634;-1080.39
815307;-1088.33
770123;-1111.84
773790;-1110
814451;-1086.93
723394;-1078.98
506946;-1077.72
252145;-1079.06
67212.3;-1080.87
31430.7;-1081.95
160164;-1081.92
398137;-1081.34
643696;-1081.73
794448;-1086.14
801002;-1101.42
751173;-1123
805428;-1097.66
785008;-1082.31
621338;-1076.85
371762;-1075.54
140837;-1076.06
27281.3;-1077.22
79847.5;-1078.37
275943;-1079.41
531523;-1080.93
738246;-1084.6
814264;-1094.55
766198;-1119.04
775743;-1114
812706;-1089.76
715528;-1079.09
495653;-1074.19
241970;-1072.09
62305.1;-1071.73
33694.5;-1072.62
168422;-1074.51
408644;-1077.39
651790;-1081.81
796712;-1089.84
797679;-1107.88
750699;-1128.75
806036;-1102.18
779884;-1085.46
611363;-1077.07
360765;-1072.18
133248;-1069.55
26103.7;-1068.94
85333.8;-1070.26
285484;-1073.39
540791;-1078.33
743131;-1085.79
812999;-1099.15
762634;-1125.88
777480;-1119.25
810775;-1095.51
708020;-1084.11
485170;-1077.5
232720;-1073.3
58037.4;-1071.08
36033.5;-1070.91
176153;-1072.84
418245;-1076.84
658983;-1083.16
798457;-1093.45
794416;-1113.83
750439;-1134.55
806366;-1108.66
774924;-1093.56
602082;-1086.28
350729;-1081.94
126485;-1079.2
25268.5;-1077.85
90537.5;-1078
294245;-1079.89
549122;-1083.86
747326;-1090.96
811576;-1104.8
759410;-1132.48
778937;-1124.95
808720;-1103.82
700971;-1095.48
475585;-1091.94
224426;-1090.11
54371.1;-1088.91
38353.5;-1088.12
183247;-1087.99
426856;-1089.12
665252;-1092.59
799722;-1100.87
791262;-1120.73
750293;-1140.14
806435;-1115.35
770220;-1103.5
593607;-1100.26
341733;-1100.05
120561;-1100.44
24715.5;-1100.31
95349.9;-1099.44
302114;-1098.38
556447;-1098.42
750832;-1101.77
810053;-1113.11
756532;-1139.61
780088;-1130.26
806601;-1111.06
694470;-1105.81
466974;-1106.21
217121;-1108.29
51278.4;-1109.87
40580.7;-1109.86
189615;-1108.32
434416;-1106.37
670585;-1106.13
800548;-1111.2
788275;-1129.18
750215;-1146.02
806275;-1120.76
765824;-1109.76
585980;-1107.97
333788;-1109.73
115450;-1112.18
24394.1;-1113.66
99719.3;-1113.47
309061;-1112.03
562772;-1110.83
753686;-1112.55
808477;-1122.49
753998;-1147.71
780956;-1135.63
804465;-1115.57
688531;-1109.11
459306;-1108.42
210743;-1110.02
48697.5;-1111.99
42681.2;-1113.21
195270;-1113.38
440978;-1113.15
675059;-1114.2
801003;-1119.95
785476;-1138.15
750172;-1152.89
805932;-1125.94
761742;-1112.62
579143;-1107.65
326796;-1106.31
111054;-1106.71
24249.9;-1107.88
103656;-1109.3
315157;-1110.92
568197;-1113.34
755975;-1118.29
806882;-1130.49
751763;-1156.37
781572;-1142.31
802350;-1120.51
683125;-1110.62
452496;-1105.62
205183;-1103.22
46542.7;-1102.72
44630.3;-1103.83
200258;-1106.34
446644;-1110.16
678784;-1115.79
801156;-1125.51
782858;-1146.42
750103;-1160.76
805437;-1133.27
757983;-1118.27
573058;-1110.29
320682;-1105.42
107290;-1102.79
24221.7;-1102.33
107147;-1103.99
320439;-1107.67
572789;-1113.34
757763;-1121.86
805292;-1137.18
749752;-1164.87
781931;-1150.63
800300;-1129.44
678289;-1119.24
446547;-1113.15
200410;-1109.22
44759.1;-1107.16
46372;-1107.11
204546;-1109.18
451411;-1113.42
681791;-1120.22
801055;-1131.56
