x;y;z;r
12.161;3.95371;21.4854;1.8
14.1571;3.78719;23.4756;1.8
16.0196;3.641;25.2106;1.8
17.5855;3.53315;26.4739;1.8
18.7067;3.47717;27.1082;1.8
19.2778;3.4807;27.0295;1.8
19.2516;3.54475;26.2339;1.8
18.6474;3.66366;24.796;1.8
17.5512;3.8259;22.8587;1.8
16.1094;4.01564;20.6115;1.8
14.5213;4.21552;18.2538;1.8
13.0244;4.41347;15.9037;1.8
11.7142;4.61588;13.4513;1.8
10.4502;4.82448;10.9023;1.8
9.20744;5.02122;8.5145;1.8
8.05964;5.18538;6.56107;1.8
7.10049;5.29941;5.26699;1.8
6.41402;5.35125;4.78282;1.8
6.05834;5.33568;5.16871;1.8
6.05579;5.25496;6.38856;1.8
6.38764;5.11847;8.31528;1.8
6.99225;4.94159;10.7474;1.8
7.76359;4.74359;13.4388;1.8
8.54127;4.54365;16.1556;1.8
9.1311;4.34823;18.8496;1.8
9.56918;4.14792;21.6443;1.8
10.0081;3.95053;24.3981;1.8
10.4914;3.7755;26.8301;1.8
11.0112;3.64197;28.6748;1.8
11.5391;3.56502;29.7279;1.8
12.039;3.55364;29.8716;1.8
12.4759;3.6096;29.0886;1.8
12.8225;3.72726;27.4635;1.8
13.0661;3.89415;25.1731;1.8
13.2168;4.09244;22.4643;1.8
13.3245;4.30135;19.6162;1.8
13.5254;4.50344;16.8434;1.8
13.9384;4.70177;14.0777;1.8
14.4191;4.90178;11.274;1.8
14.8055;5.09063;8.64621;1.8
15.0024;5.25089;6.45806;1.8
14.9576;5.36689;4.93953;1.8
14.6542;5.42739;4.25125;1.8
14.1076;5.42709;4.46361;1.8
13.3602;5.36743;5.54775;1.8
12.474;5.25644;7.37816;1.8
11.5181;5.10799;9.74644;1.8
10.549;4.94033;12.3857;1.8
9.56278;4.77356;15.016;1.8
8.41855;4.61805;17.523;1.8
7.10956;4.46463;20.0361;1.8
5.8535;4.3142;22.4959;1.8
4.8451;4.17875;24.6936;1.8
4.22836;4.07158;26.4126;1.8
4.09398;4.00382;27.478;1.8
4.47502;3.98262;27.7831;1.8
5.34629;4.01005;27.3041;1.8
6.62969;4.08279;26.1044;1.8
8.20635;4.19226;24.3289;1.8
9.93772;4.32535;22.1907;1.8
11.7052;4.46529;19.949;1.8
13.5175;4.59472;17.8443;1.8
15.5043;4.71341;15.8521;1.8
17.5379;4.83076;13.8686;1.8
19.36;4.94386;11.9896;1.8
20.7439;5.04479;10.3745;1.8
21.5196;5.12525;9.17526;1.8
21.5881;5.17861;8.50578;1.8
20.9303;5.201;8.42431;1.8
19.6073;5.19194;8.92418;1.8
17.7511;5.15465;9.9323;1.8
15.5459;5.09597;11.3138;1.8
13.1945;5.02627;12.8803;1.8
10.8444;4.95997;14.3992;1.8
8.4204;4.9087;15.7239;1.8
5.87159;4.86452;16.9764;1.8
3.43134;4.81966;18.215;1.8
1.37821;4.77432;19.3774;1.8
-0.0505923;4.7314;20.3722;1.8
-0.688371;4.69449;21.1134;1.8
-0.456864;4.66695;21.5377;1.8
0.625875;4.65114;21.6157;1.8
2.44859;4.64806;21.3574;1.8
4.82131;4.65685;20.8155;1.8
7.50214;4.67437;20.0858;1.8
10.2462;4.69385;19.315;1.8
12.9496;4.70252;18.7039;1.8
15.7404;4.69694;18.2727;1.8
18.5372;4.68991;17.8605;1.8
21.0669;4.69006;17.4053;1.8
23.0566;4.7016;16.9068;1.8
24.2875;4.72613;16.3896;1.8
24.6237;4.76327;15.8882;1.8
24.0276;4.81105;15.4379;1.8
22.5647;4.86636;15.0684;1.8
20.3954;4.92551;14.7963;1.8
17.7555;4.98515;14.6184;1.8
14.9225;5.04375;14.4964;1.8
12.1403;5.10569;14.3168;1.8
9.39668;5.18196;13.9289;1.8
6.59847;5.26679;13.4331;1.8
3.92529;5.34473;13.0068;1.8
1.64;5.40407;12.7568;1.8
-0.0175792;5.43673;12.7444;1.8
-0.871213;5.43826;12.9941;1.8
-0.831559;5.40792;13.4971;1.8
0.0924667;5.34853;14.2158;1.8
1.79397;5.26598;15.0909;1.8
4.07963;5.16827;16.0525;1.8
6.69178;5.06385;17.0377;1.8
9.34647;4.95825;18.0301;1.8
11.8702;4.84569;19.1477;1.8
14.3749;4.71988;20.4541;1.8
16.8582;4.59498;21.7523;1.8
19.1261;4.48868;22.8371;1.8
20.9599;4.41548;23.5532;1.8
22.1747;4.38556;23.7981;1.8
22.649;4.40405;23.5261;1.8
22.3415;4.47062;22.7508;1.8
21.2977;4.57968;21.5403;1.8
19.6459;4.7212;20.0073;1.8
17.5857;4.88223;18.2895;1.8
15.368;5.04968;16.5158;1.8
13.2513;5.21726;14.7188;1.8
11.2768;5.39401;12.7632;1.8
9.31502;5.57739;10.7125;1.8
7.42724;5.7482;8.82109;1.8
5.76587;5.88716;7.32541;1.8
4.48582;5.97873;6.40909;1.8
3.70958;6.01278;6.18714;1.8
3.50758;5.98564;6.69581;1.8
3.88739;5.90038;7.8904;1.8
4.79055;5.76642;9.65224;1.8
6.09603;5.59821;11.8056;1.8
7.6276;5.41305;14.1469;1.8
9.16147;5.22664;16.5051;1.8
10.5058;5.04027;18.9033;1.8
11.742;4.84553;21.4412;1.8
12.9673;4.65454;23.9292;1.8
14.1374;4.48806;26.087;1.8
15.1661;4.36525;27.6661;1.8
15.9663;4.30056;28.4834;1.8
16.4701;4.30208;28.4407;1.8
16.6402;4.37055;27.5356;1.8
16.4772;4.49936;25.8603;1.8
16.0224;4.67532;23.5896;1.8
15.3599;4.8804;20.9573;1.8
14.6215;5.09458;18.2141;1.8
14.0021;5.30366;15.5167;1.8
13.5852;5.51396;12.7589;1.8
13.2169;5.72713;9.95071;1.8
12.8089;5.92627;7.34649;1.8
12.3491;6.09163;5.22439;1.8
11.8557;6.20627;3.81683;1.8
11.3598;6.25858;3.27899;1.8
10.897;6.24374;3.67037;1.8
10.4989;6.16437;4.94794;1.8
10.1876;6.03017;6.97133;1.8
9.96727;5.85694;9.51969;1.8
9.81247;5.66453;12.3214;1.8
9.63441;5.47319;15.1131;1.8
9.26591;5.28972;17.8357;1.8
8.74609;5.10462;20.6133;1.8
8.26488;4.92405;23.3195;1.8
7.94573;4.76448;25.6981;1.8
7.86191;4.64252;27.5018;1.8
8.04808;4.57138;28.5391;1.8
8.50388;4.5589;28.7007;1.8
9.19763;4.60649;27.9736;1.8
10.0728;4.70893;26.4428;1.8
11.058;4.85479;24.2829;1.8
12.0835;5.02762;21.7383;1.8
13.1134;5.20777;19.0906;1.8
14.2293;5.37797;16.5631;1.8
15.5449;5.54123;14.0898;1.8
16.9042;5.70411;11.6123;1.8
18.0891;5.85792;9.29862;1.8
18.9303;5.98967;7.366;1.8
19.3103;6.08729;6.00787;1.8
19.1686;6.14193;5.36047;1.8
18.5048;6.14932;5.48367;1.8
17.3762;6.11037;6.35233;1.8
15.8881;6.03128;7.8575;1.8
14.1773;5.92306;9.81657;1.8
12.3826;5.80071;11.9905;1.8
10.5752;5.68208;14.1153;1.8
8.6392;5.57716;16.0762;1.8
6.56409;5.47667;18.0052;1.8
4.59031;5.37786;19.8889;1.8
2.96558;5.28695;21.5878;1.8
1.88962;5.212;22.9467;1.8
1.49622;5.16027;23.8359;1.8
1.84131;5.13682;24.1726;1.8
2.89858;5.14369;23.9344;1.8
4.56431;5.17943;23.1633;1.8
6.67196;5.23908;21.9643;1.8
9.01821;5.31421;20.4984;1.8
11.4121;5.39261;18.9767;1.8
13.8135;5.45906;17.6198;1.8
16.3507;5.5129;16.4098;1.8
18.8994;5.56536;15.2163;1.8
21.1813;5.61942;14.0578;1.8
22.9353;5.67347;13.0121;1.8
23.9596;5.72446;12.1652;1.8
24.134;5.76907;11.5889;1.8
23.4327;5.80451;11.3278;1.8
21.9266;5.82898;11.3917;1.8
19.7733;5.8422;11.7508;1.8
17.1971;5.84579;12.3346;1.8
14.4521;5.84415;13.0273;1.8
11.7388;5.84697;13.6511;1.8
9.0035;5.86522;14.0644;1.8
6.18401;5.89115;14.3886;1.8
3.50107;5.91282;14.7429;1.8
1.23645;5.92389;15.1554;1.8
-0.362685;5.92126;15.6165;1.8
-1.12009;5.90414;16.0995;1.8
-0.951869;5.87365;16.5707;1.8
0.123757;5.83249;16.9966;1.8
1.98868;5.78435;17.3507;1.8
4.43894;5.73324;17.6211;1.8
7.21085;5.68227;17.8207;1.8
10.0282;5.63105;18.014;1.8
12.7552;5.5701;18.3622;1.8
15.5164;5.49512;18.8985;1.8
18.2583;5.42032;19.4364;1.8
20.7385;5.35966;19.8331;1.8
22.7033;5.32327;20.0017;1.8
23.9455;5.31768;19.8957;1.8
24.3345;5.34557;19.5055;1.8
23.8329;5.4058;18.8549;1.8
22.5016;5.49371;17.996;1.8
20.4937;5.60185;16.9998;1.8
18.0379;5.72131;15.9414;1.8
15.4103;5.84407;14.8738;1.8
12.8692;5.96897;13.7579;1.8
10.4226;6.10611;12.4512;1.8
7.96066;6.25069;11.0441;1.8
5.60939;6.38452;9.76295;1.8
3.58085;6.49113;8.79208;1.8
2.0761;6.55786;8.26477;1.8
1.24655;6.57688;8.25801;1.8
1.17197;6.54577;8.78818;1.8
1.84925;6.4677;9.8119;1.8
3.19114;6.35088;11.2334;1.8
5.03401;6.20739;12.9196;1.8
7.15312;6.05106;14.7254;1.8
9.2864;5.89333;16.5477;1.8
11.2499;5.73196;18.4569;1.8
13.1443;5.55966;20.533;1.8
15.0166;5.39025;22.5735;1.8
16.7485;5.24395;24.3221;1.8
18.1873;5.13854;25.5635;1.8
19.1974;5.08711;26.1444;1.8
19.684;5.09667;25.9875;1.8
19.6088;5.16743;25.098;1.8
18.9959;5.2929;23.561;1.8
17.9321;5.46072;21.5303;1.8
16.5615;5.65441;19.2048;1.8
15.0793;5.85634;16.7882;1.8
13.7164;6.0556;14.3831;1.8
12.535;6.25998;11.868;1.8
11.3902;6.4689;9.28189;1.8
10.2627;6.66363;6.8897;1.8
9.21712;6.82372;4.96234;1.8
8.33596;6.93212;3.71995;1.8
7.69346;6.97739;3.30595;1.8
7.34133;6.95506;3.77159;1.8
