Lx;Ly;Lz
31.9532;-11238.8;-1751.47
31.9612;-11238.3;-1751.43
31.9639;-11238.1;-1751.42
31.965;-11238;-1751.41
31.9659;-11238;-1751.41
31.9668;-11237.9;-1751.41
31.9677;-11237.9;-1751.4
31.9686;-11237.8;-1751.4
31.9695;-11237.7;-1751.39
31.9703;-11237.7;-1751.39
31.9712;-11237.6;-1751.39
31.9735;-11237.5;-1751.37
31.982;-11236.9;-1751.33
31.9918;-11236.3;-1751.29
31.9966;-11236;-1751.27
31.9982;-11235.9;-1751.26
31.9991;-11235.8;-1751.25
32;-11235.7;-1751.25
32.0009;-11235.7;-1751.25
32.0018;-11235.6;-1751.24
32.0027;-11235.6;-1751.24
32.0035;-11235.5;-1751.23
32.0043;-11235.5;-1751.23
32.0057;-11235.4;-1751.22
32.0105;-11235.1;-1751.2
32.0215;-11234.3;-1751.15
32.029;-11233.9;-1751.11
32.0315;-11233.7;-1751.1
32.0325;-11233.6;-1751.1
32.0334;-11233.6;-1751.09
32.0343;-11233.5;-1751.09
32.0352;-11233.4;-1751.09
32.0361;-11233.4;-1751.08
32.037;-11233.3;-1751.08
32.0378;-11233.3;-1751.07
32.0387;-11233.2;-1751.07
32.0413;-11233.1;-1751.06
32.0505;-11232.5;-1751.01
32.06;-11231.8;-1750.97
32.0643;-11231.6;-1750.95
32.0657;-11231.5;-1750.94
32.0666;-11231.4;-1750.94
32.0675;-11231.3;-1750.93
32.0684;-11231.3;-1750.93
32.0694;-11231.2;-1750.93
32.0702;-11231.2;-1750.92
32.071;-11231.1;-1750.92
32.0719;-11231.1;-1750.91
32.0733;-11231;-1750.91
32.0788;-11230.6;-1750.88
32.0897;-11229.9;-1750.83
32.0967;-11229.4;-1750.8
32.0989;-11229.3;-1750.79
32.1;-11229.2;-1750.78
32.1008;-11229.2;-1750.78
32.1017;-11229.1;-1750.77
32.1027;-11229;-1750.77
32.1036;-11229;-1750.76
32.1044;-11228.9;-1750.76
32.1052;-11228.9;-1750.76
32.1062;-11228.8;-1750.75
32.1091;-11228.6;-1750.74
32.1188;-11228;-1750.69
32.128;-11227.4;-1750.65
32.1319;-11227.1;-1750.63
32.1332;-11227.1;-1750.63
32.1341;-11227;-1750.62
32.135;-11226.9;-1750.62
32.1359;-11226.9;-1750.61
32.1368;-11226.8;-1750.61
32.1377;-11226.8;-1750.6
32.1385;-11226.7;-1750.6
32.1393;-11226.7;-1750.6
32.141;-11226.6;-1750.59
32.1471;-11226.2;-1750.56
32.1578;-11225.5;-1750.51
32.1642;-11225;-1750.48
32.1663;-11224.9;-1750.47
32.1673;-11224.8;-1750.47
32.1682;-11224.8;-1750.46
32.1691;-11224.7;-1750.46
32.17;-11224.7;-1750.45
32.1709;-11224.6;-1750.45
32.1717;-11224.5;-1750.45
